"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Execute complete integration flow: Create user (API 11) -> Get details (API 14) -> Update details (API 13) -> Delete user (API 12).","2848","API 11 & 14 & 13 & 12: Complete User Lifecycle Integration Test","","2026-05-31","passed","2026-05-31","Account & Auth","Automation Exercise API","AccountApiTests","CompleteUserLifecycle_ShouldCreateUpdateAndRetrieveAndCleanUpUser"
"Verify that DELETE request to /api/verifyLogin is not supported and returns 405 response code.","228","API 9: DELETE To Verify Login","","2026-05-31","passed","2026-05-31","Account & Auth","Automation Exercise API","LoginApiTests","DeleteToVerifyLogin_ShouldReturnMethodNotSupported"
"Verify that PUT request to /api/brandsList is not supported and returns 405 response code.","211","API 4: PUT To All Brands List","","2026-05-31","passed","2026-05-31","Brands","Automation Exercise API","BrandsApiTests","PutToBrandsList_ShouldReturnMethodNotSupported"
"Verify that POST request to /api/searchProduct without search_product parameter returns 400 response code.","235","API 6: POST To Search Product without search_product parameter","","2026-05-31","passed","2026-05-31","Products","Automation Exercise API","SearchProductApiTests","SearchProduct_WithoutParam_ShouldReturnBadRequest"
"Verify that POST request to /api/verifyLogin with valid details returns 200 response code and success message.","216","API 7: POST To Verify Login with valid details","","2026-05-31","passed","2026-05-31","Account & Auth","Automation Exercise API","LoginApiTests","VerifyLogin_WithValidDetails_ShouldReturnSuccess"
"Verify that POST request to /api/productsList is not supported and returns 405 response code.","205","API 2: POST To All Products List","","2026-05-31","passed","2026-05-31","Products","Automation Exercise API","ProductsApiTests","PostToProductsList_ShouldReturnMethodNotSupported"
"Verify that GET request to /api/brandsList returns all brands with required properties.","233","API 3: Get All Brands List","","2026-05-31","passed","2026-05-31","Brands","Automation Exercise API","BrandsApiTests","GetAllBrandsList_ShouldReturnAllBrands"
"Verify that GET request to /api/productsList returns all products with required properties.","277","API 1: Get All Products List","","2026-05-31","passed","2026-05-31","Products","Automation Exercise API","ProductsApiTests","GetAllProductsList_ShouldReturnAllProducts"
"Verify that POST request to /api/verifyLogin without email parameter returns 400 response code.","201","API 8: POST To Verify Login without email parameter","","2026-05-31","passed","2026-05-31","Account & Auth","Automation Exercise API","LoginApiTests","VerifyLogin_WithoutEmail_ShouldReturnBadRequest"
"Verify that POST request to /api/verifyLogin with invalid details returns 404 response code.","216","API 10: POST To Verify Login with invalid details","","2026-05-31","passed","2026-05-31","Account & Auth","Automation Exercise API","LoginApiTests","VerifyLogin_WithInvalidDetails_ShouldReturnUserNotFound"
"Verify that POST request to /api/searchProduct with valid parameter returns matched products.","223","API 5: POST To Search Product","","2026-05-31","passed","2026-05-31","Products","Automation Exercise API","SearchProductApiTests","SearchProduct_WithValidTerm_ShouldReturnMatchedProducts"
